Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,58.299999,58.720001,57.910000,57.910000,54.959831,287900
2016-01-04,57.150002,57.799999,56.610001,57.450001,54.523266,432000
2016-01-05,57.450001,58.919998,57.430000,58.740002,55.747551,451400
2016-01-06,57.930000,58.680000,57.590000,58.000000,55.045246,477000
2016-01-07,56.799999,57.230000,55.689999,56.270000,53.403378,880200
2016-01-08,56.310001,56.650002,53.730000,53.799999,51.059208,742200
2016-01-11,54.279999,54.400002,53.259998,54.180000,51.419849,483000
2016-01-12,54.680000,54.680000,52.990002,54.290001,51.524246,439800
2016-01-13,54.700001,55.220001,52.880001,53.290001,50.575188,479700
2016-01-14,53.630001,54.669998,52.950001,54.330002,51.562214,524200
2016-01-15,53.099998,53.099998,51.669998,52.480000,49.806461,789300
2016-01-19,53.450001,53.939999,51.349998,51.790001,49.151608,717500
2016-01-20,50.619999,52.099998,50.080002,51.750000,49.113647,1068100
2016-01-21,51.970001,53.389999,51.700001,52.750000,50.062698,701800
2016-01-22,53.459999,53.990002,53.000000,53.730000,50.992775,517700
2016-01-25,53.380001,53.980000,52.080002,52.389999,49.721043,535100
2016-01-26,53.220001,54.650002,52.910000,54.610001,51.827950,879500
2016-01-27,53.790001,54.630001,53.310001,53.619999,50.888382,422400
2016-01-28,54.590000,54.779999,53.470001,54.480000,51.704567,603400
2016-01-29,54.310001,57.040001,54.310001,56.939999,54.039242,850000
2016-02-01,56.660000,56.880001,55.700001,56.669998,53.782997,473600
2016-02-02,55.660000,56.540001,55.410000,56.480000,53.602684,549600
2016-02-03,57.080002,58.000000,55.910000,57.570000,54.637150,560700
2016-02-04,58.389999,59.930000,57.869999,58.400002,55.424873,732700
2016-02-05,57.730000,59.070000,57.500000,57.650002,54.713070,467700
2016-02-08,57.000000,58.169998,57.000000,57.869999,54.921864,519700
2016-02-09,57.090000,58.000000,56.450001,57.459999,54.532757,492000
2016-02-10,57.669998,58.360001,57.040001,57.250000,54.333450,437500
2016-02-11,56.340000,56.950001,55.639999,56.259998,53.393883,438100
2016-02-12,57.209999,58.930000,56.810001,58.860001,55.861431,486900
2016-02-16,59.450001,59.980000,58.549999,58.970001,55.965832,771600
2016-02-17,59.759998,60.730000,59.200001,60.470001,57.389412,1096700
2016-02-18,61.000000,61.000000,59.169998,59.889999,56.838959,961100
2016-02-19,59.220001,60.220001,58.310001,59.450001,56.421375,788000
2016-02-22,60.220001,60.900002,59.459999,59.990002,56.933868,513400
2016-02-23,59.570000,60.740002,59.040001,59.299999,56.279015,685800
2016-02-24,58.540001,59.720001,58.060001,59.560001,56.525768,524700
2016-02-25,59.540001,60.459999,59.180000,60.430000,57.351452,411900
2016-02-26,60.910000,61.310001,60.040001,60.340000,57.266037,423300
2016-02-29,60.529999,61.720001,60.070000,60.889999,57.788021,385200
2016-03-01,61.880001,63.750000,60.939999,63.110001,59.894920,759000
2016-03-02,63.250000,65.870003,62.759998,65.830002,62.476353,1246800
2016-03-03,66.000000,66.809998,64.930000,65.160004,61.840488,870500
2016-03-04,65.849998,65.849998,63.320000,63.959999,60.701622,1287800
2016-03-07,64.330002,65.610001,63.520000,65.580002,62.239094,852100
2016-03-08,65.070000,65.820000,63.799999,64.629997,61.337479,719900
2016-03-09,64.620003,65.989998,63.830002,65.220001,62.282902,666300
2016-03-10,65.449997,66.639999,65.000000,66.580002,63.581646,765000
2016-03-11,66.989998,67.529999,66.110001,67.080002,64.059151,541900
2016-03-14,66.430000,67.860001,66.339996,67.239998,64.211929,561400
2016-03-15,66.360001,67.930000,65.879997,67.260002,64.231033,562700
2016-03-16,67.239998,67.959999,66.690002,67.650002,64.603477,898000
2016-03-17,68.099998,70.250000,67.389999,70.129997,66.971779,712700
2016-03-18,70.110001,71.339996,69.790001,70.260002,67.095947,858200
2016-03-21,69.540001,69.889999,68.160004,69.339996,66.217369,700700
2016-03-22,68.889999,69.889999,68.400002,69.160004,66.045464,375900
2016-03-23,69.160004,69.279999,67.769997,67.889999,64.832657,577800
2016-03-24,67.250000,68.339996,66.860001,68.339996,65.262398,559800
2016-03-28,68.690002,69.199997,67.849998,68.739998,65.644371,431600
2016-03-29,68.099998,70.040001,67.730003,70.019997,66.866737,557200
2016-03-30,70.489998,70.830002,69.730003,69.970001,66.818993,523500
2016-03-31,69.790001,69.949997,68.910004,69.190002,66.074112,444800
2016-04-01,68.379997,70.360001,68.230003,70.290001,67.124580,684900
2016-04-04,70.279999,70.669998,68.660004,68.660004,65.567978,589300
2016-04-05,68.320000,68.980003,68.180000,68.629997,65.539330,561700
2016-04-06,68.489998,69.320000,68.250000,69.000000,65.892677,656300
2016-04-07,68.839996,68.980003,67.570000,67.809998,64.756256,575000
2016-04-08,68.959999,70.309998,68.480003,69.470001,66.341499,907500
2016-04-11,69.989998,70.589996,69.709999,69.860001,66.713951,898600
2016-04-12,70.169998,70.440002,68.849998,69.959999,66.809448,567800
2016-04-13,70.900002,72.599998,70.580002,72.480003,69.215942,953400
