Date,Open,High,Low,Close,Adj Close,Volume
2016-02-09,309.000000,313.950012,307.000000,312.250000,308.241272,2835306
2016-02-10,311.000000,314.950012,308.500000,311.299988,307.303467,9174821
2016-02-11,305.000000,315.500000,304.450012,308.700012,304.736877,5876839
2016-02-12,312.500000,330.000000,307.500000,324.549988,320.383362,3649561
2016-02-15,328.549988,329.899994,316.450012,318.899994,314.805908,5061087
2016-02-16,322.350006,324.899994,313.750000,315.299988,311.252106,2623523
2016-02-17,313.500000,321.600006,308.600006,319.549988,315.447571,3582126
2016-02-18,323.000000,323.100006,316.049988,321.200012,317.076385,2315365
2016-02-19,320.500000,327.950012,316.750000,326.049988,321.864105,5373117
2016-02-22,324.500000,334.899994,322.000000,329.100006,324.874969,3113993
2016-02-23,333.000000,333.000000,318.100006,321.299988,317.175079,4900675
2016-02-24,318.149994,325.549988,317.649994,323.950012,319.791077,2274192
2016-02-25,324.950012,325.450012,318.000000,322.549988,318.409027,8613286
2016-02-26,324.850006,324.850006,317.000000,317.950012,313.868134,6367019
2016-02-29,317.000000,322.350006,313.049988,315.500000,311.449554,3594778
2016-03-01,315.549988,322.299988,310.250000,320.700012,316.582794,4353551
2016-03-02,322.000000,327.750000,321.000000,326.350006,322.160278,2964861
2016-03-03,328.399994,334.950012,324.000000,333.399994,329.119751,2942607
2016-03-04,332.000000,336.649994,327.100006,329.250000,325.023041,1953836
2016-03-08,329.250000,334.000000,326.750000,331.500000,327.244171,2157320
2016-03-09,329.049988,335.850006,328.299988,334.600006,330.304352,3091469
2016-03-10,332.049988,338.700012,331.000000,336.299988,331.982483,1656083
2016-03-11,335.000000,338.799988,334.000000,337.250000,332.920319,2720156
2016-03-14,335.149994,342.000000,331.799988,340.750000,336.375427,2373050
2016-03-15,340.000000,344.500000,336.000000,342.899994,338.497772,2081414
2016-03-16,341.250000,344.799988,335.399994,338.500000,334.154266,3931205
2016-03-17,341.299988,351.700012,338.049988,340.750000,336.375427,6449118
2016-03-18,345.799988,348.250000,340.049988,344.299988,339.879822,3561683
2016-03-21,345.000000,355.000000,343.200012,353.649994,349.109772,2535611
2016-03-22,354.899994,356.700012,344.649994,350.899994,346.395081,3988349
2016-03-23,352.000000,361.399994,352.000000,358.200012,353.601379,4611410
2016-03-28,358.200012,361.000000,346.850006,349.799988,345.309204,4173356
2016-03-29,347.000000,357.750000,346.049988,354.500000,349.948853,3671058
2016-03-30,355.000000,359.250000,351.100006,353.799988,349.257843,3811564
2016-03-31,353.500000,356.649994,346.549988,350.799988,346.296356,7144216
2016-04-01,350.200012,350.200012,332.200012,335.450012,331.143463,4071134
2016-04-04,335.549988,350.899994,335.549988,348.500000,344.025909,3095605
2016-04-05,346.500000,346.500000,329.049988,330.500000,326.257019,4767509
2016-04-06,333.450012,339.549988,331.549988,334.500000,330.205627,2737206
2016-04-07,336.100006,336.299988,329.250000,331.250000,326.997345,2177209
2016-04-08,331.950012,337.399994,325.600006,334.600006,330.304352,2090508
2016-04-11,341.450012,350.000000,341.000000,348.250000,343.779114,4077524
2016-04-12,348.200012,352.500000,344.149994,350.100006,345.605347,2784511
2016-04-13,351.049988,364.500000,349.600006,351.250000,346.740570,5961256
2016-04-18,351.250000,363.000000,351.250000,359.399994,354.785980,2549108
2016-04-20,359.399994,364.350006,354.100006,356.649994,352.071289,2929869
